function_name,execution_time
SAVE_OUTPUT:CLIENT_HANDLER:1:18,0.02765337900200393
RUN:CLIENT_HANDLER:1:18,0.30858662800164893
SAVE_INPUT:CLIENT_HANDLER:1:19,0.0005454080019262619
GET_INPUT:CLIENT_HANDLER:1:19,0.07681195199984359
CALL_FN:CLIENT_HANDLER:1:19,0.15539102899492718
SAVE_OUTPUT:CLIENT_HANDLER:1:19,0.02670386599493213
RUN:CLIENT_HANDLER:1:19,0.2604271680029342
SAVE_INPUT:CLIENT_HANDLER:1:20,0.0004921069994452409
GET_INPUT:CLIENT_HANDLER:1:20,0.06979105599748436
CALL_FN:CLIENT_HANDLER:1:20,0.15628984099748777
SAVE_OUTPUT:CLIENT_HANDLER:1:20,0.02740997499495279
RUN:CLIENT_HANDLER:1:20,0.25492489300086163
SAVE_INPUT:CLIENT_HANDLER:1:21,0.0004893059958703816
GET_INPUT:CLIENT_HANDLER:1:21,0.06619640700228047
CALL_FN:CLIENT_HANDLER:1:21,0.15960058599739568
SAVE_OUTPUT:CLIENT_HANDLER:1:21,0.02928840200183913
RUN:CLIENT_HANDLER:1:21,0.25649351400352316
SAVE_INPUT:CLIENT_HANDLER:1:22,0.001318218004598748
GET_INPUT:CLIENT_HANDLER:1:22,0.08719579500029795
CALL_FN:CLIENT_HANDLER:1:22,0.1884672820015112
SAVE_OUTPUT:CLIENT_HANDLER:1:22,0.0271636719990056
RUN:CLIENT_HANDLER:1:22,0.30526408199511934
SAVE_INPUT:CLIENT_HANDLER:1:23,0.0007298100026673637
GET_INPUT:CLIENT_HANDLER:1:23,0.0829969370024628
CALL_FN:CLIENT_HANDLER:1:23,0.19826921600179048
SAVE_OUTPUT:CLIENT_HANDLER:1:23,0.02248800800589379
RUN:CLIENT_HANDLER:1:23,0.30558418599684956
SAVE_INPUT:CLIENT_HANDLER:1:24,0.0006892099991091527
GET_INPUT:CLIENT_HANDLER:1:24,0.08461795900075231
CALL_FN:CLIENT_HANDLER:1:24,0.16265752899926156
SAVE_OUTPUT:CLIENT_HANDLER:1:24,0.019855972001096234
RUN:CLIENT_HANDLER:1:24,0.26865988099598326
SAVE_INPUT:CLIENT_HANDLER:1:25,0.0005672070037689991
GET_INPUT:CLIENT_HANDLER:1:25,0.06724052099889377
CALL_FN:CLIENT_HANDLER:1:25,0.15982079000241356
SAVE_OUTPUT:CLIENT_HANDLER:1:25,0.024100130001897924
RUN:CLIENT_HANDLER:1:25,0.2526873609967879
SAVE_INPUT:CLIENT_HANDLER:1:26,0.0008691120019648224
GET_INPUT:CLIENT_HANDLER:1:26,0.07724515799782239
CALL_FN:CLIENT_HANDLER:1:26,0.19772770900453907
SAVE_OUTPUT:CLIENT_HANDLER:1:26,0.03093782399810152
RUN:CLIENT_HANDLER:1:26,0.3083164239942562
SAVE_INPUT:CLIENT_HANDLER:1:27,0.0008844120020512491
GET_INPUT:CLIENT_HANDLER:1:27,0.08060330399894156
CALL_FN:CLIENT_HANDLER:1:27,0.18909339100355282
